,Acinetobacter baumannii,Bacillus subtilis,Bacillus thuringiensis,Bacillus velezensis,E.coli,Helicobacter pylori,Klebsiella pneumoniae,Listeria monocytogenes,Mycobacterium tuberculosis,Pseudomonas aeruginosa,Pseudomonas putida,Salmonella enterica,Staphylococcus aureus,Streptococcus pneumoniae
Acinetobacter baumannii,0,0.743965,0.729927,0.731387,0.756401,0.758394,0.738304,0.740441,0.725547,0.760584,0.744526,0.741228,0.734307,0.504748
Bacillus subtilis,0.743965,0,0.761696,0.751462,0.756044,0.730994,0.759883,0.75405,0.726608,0.758041,0.737573,0.751098,0.745614,0.758595
Bacillus thuringiensis,0.729927,0.761696,0,0.748359,0.740497,0.755653,0.768444,0.735489,0.737418,0.75857,0.752006,0.748722,0.755653,0.755474
Bacillus velezensis,0.731387,0.751462,0.748359,0,0.734649,0.737418,0.748722,0.706833,0.69876,0.757112,0.736689,0.737034,0.44566,0.749635
E.coli,0.756401,0.756044,0.740497,0.734649,0,0.756579,0.762811,0.766568,0.739766,0.736111,0.730994,0.748902,0.731725,0.73226
Helicobacter pylori,0.758394,0.730994,0.755653,0.737418,0.756579,0,0.728269,0.735489,0.695113,0.754194,0.754923,0.7458,0.711889,0.735036
Klebsiella pneumoniae,0.738304,0.759883,0.768444,0.748722,0.762811,0.728269,0,0.738779,0.754565,0.765522,0.735573,0.766642,0.734843,0.73538
Listeria monocytogenes,0.740441,0.75405,0.735489,0.706833,0.766568,0.735489,0.738779,0,0.767083,0.733284,0.750184,0.734364,0.758266,0.75
Mycobacterium tuberculosis,0.725547,0.726608,0.737418,0.69876,0.739766,0.695113,0.754565,0.767083,0,0.7469,0.7593,0.751644,0.719183,0.722628
Pseudomonas aeruginosa,0.760584,0.758041,0.75857,0.757112,0.736111,0.754194,0.765522,0.733284,0.7469,0,0.741794,0.738495,0.752735,0.741606
Pseudomonas putida,0.744526,0.737573,0.752006,0.736689,0.730994,0.754923,0.735573,0.750184,0.7593,0.741794,0,0.750913,0.739606,0.747445
Salmonella enterica,0.741228,0.751098,0.748722,0.737034,0.748902,0.7458,0.766642,0.734364,0.751644,0.738495,0.750913,0,0.740687,0.747076
Staphylococcus aureus,0.734307,0.745614,0.755653,0.44566,0.731725,0.711889,0.734843,0.758266,0.719183,0.752735,0.739606,0.740687,0,0.745985
Streptococcus pneumoniae,0.504748,0.758595,0.755474,0.749635,0.73226,0.735036,0.73538,0.75,0.722628,0.741606,0.747445,0.747076,0.745985,0
