label,Country,Year
A_Hawaii_02_2013,Americas,2013
A_Boston_DOA2_107_2012,Americas,2012
A_Oregon_15_2009,Americas,2009
A_Hong_Kong_H090_695_V10_2009,Asia,2009
A_New_York_182_2000,Americas,2000
A_Canterbury_58_2000,Oceania,2000
A_Minab_797_2011,Asia,2011
A_Nebraska_15_2011,Americas,2011
A_New_Hampshire_12_2012,Americas,2012
A_Scotland_76_2003,Europe,2003
A_Managua_25_2007,Americas,2007
A_Boston_57_2008,Americas,2008
A_DaNang_DN434_2008,Asia,2008
A_Mexico_InDRE940_2003,Americas,2003
A_Indiana_03_2012,Americas,2012
A_Maryland_21_2011,Americas,2011
A_Denmark_107_2003,Europe,2003
A_Peru_PER247_2011,Americas,2011
A_Maryland_03_2013,Americas,2013
