"label","Phylum","Age"
"Tip_01","Actinomycetota","0d"
"Tip_02","Bacillota","5d"
"Tip_03","Bacteroidota","25d"
"Tip_04","Pseudomonadota","36d"
"Tip_05","Cyanobacteriota","60d"
"Tip_06","Spirochaetota","180d"
"Tip_07","Verrucomicrobiota","380d"
"Tip_08","Planctomycetota","0d"
"Tip_09","Actinomycetota","5d"
"Tip_10","Bacillota","25d"
"Tip_11","Bacteroidota","36d"
"Tip_12","Pseudomonadota","60d"
"Tip_13","Cyanobacteriota","180d"
"Tip_14","Spirochaetota","380d"
"Tip_15","Verrucomicrobiota","0d"
"Tip_16","Planctomycetota","5d"
"Tip_17","Actinomycetota","25d"
"Tip_18","Bacillota","36d"
"Tip_19","Bacteroidota","60d"
"Tip_20","Pseudomonadota","180d"
"Tip_21","Cyanobacteriota","380d"
"Tip_22","Spirochaetota","0d"
"Tip_23","Verrucomicrobiota","5d"
"Tip_24","Planctomycetota","25d"
