"","S001","S002","S003","S004","S005","S006","S007","S008","S009","S010","S011","S012","S013","S014","S015","S016","S017","S018","S019","S020","S021","S022","S023","S024","S025","S026","S027","S028","S029","S030","S031","S032","S033","S034","S035"
"S001",0,0.268868550984524,0.117272439679969,0.290796421328249,0.280438022964508,0.243834189109404,0.270255976428841,0.240797399787346,0.357760873457212,0.296481851200174,0.130995767819428,0.125466889747139,0.282891370956532,0.167208325517321,0.129769702316035,0.283258396608589,0.294637465799546,0.300030942162939,0.257035550061742,0.0939626737991233,0.196962745815335,0.257432790471812,0.293188823763788,0.163388937807124,0.172595577514344,0.140592368479984,0.352261948846849,0.117272439679969,0.160744287695,0.338546227151564,0.28877517424985,0.235776717860608,0.275717988403576,0.237679254622599,0.269204068252133
"S002",0.268868550984524,0,0.254974682935688,0.125857659779649,0.202768412722769,0.226082187456403,0.161396029532911,0.284240321914378,0.334422462372318,0.126597796295306,0.270449260715087,0.267010093640773,0.170648112021115,0.270569763060086,0.269960916706638,0.146263081051299,0.168003930791321,0.188542711841676,0.255377362894695,0.261719098431727,0.261308336456033,0.283285098134229,0.121466207201267,0.26997620858805,0.283880993609295,0.245341628240483,0.345273675033805,0.254974682935688,0.268699432479486,0.335544169858668,0.303089753471803,0.248072868630432,0.272301466379477,0.211164009054072,0.141741032035527
"S003",0.117272439679969,0.254974682935688,0,0.281502088313509,0.265863007774731,0.256941320207727,0.254457739224655,0.236372489014755,0.336362295866825,0.277221163044418,0.0927791603023093,0.0842801592542895,0.267827278876574,0.154841184908605,0.0883126001543541,0.272784893046743,0.274092760194035,0.289229840410396,0.255759726027779,0.0705656182911935,0.201193213549433,0.255113008477746,0.280171617054884,0.116303712354677,0.149545273856757,0.124820287358915,0.327013949790293,0,0.121170389629053,0.329549874891952,0.293827272447462,0.21993856022941,0.267138077787949,0.239216706890715,0.242991116823214
"S004",0.290796421328249,0.125857659779649,0.281502088313509,0,0.217318704113315,0.235172622626051,0.173791058862229,0.282368512476838,0.334365769631542,0.0384561975214491,0.290012042890181,0.280276457371857,0.175977674531029,0.298951580388776,0.287664990762799,0.155991623632247,0.176174437760679,0.203364183314437,0.278179386692593,0.279049498817917,0.285872742936741,0.281296256075964,0.0313695148364501,0.291697221360588,0.292232892249252,0.287920337005743,0.363340638596342,0.285207676440795,0.294177226303647,0.356526159869669,0.298577345667946,0.250661673207743,0.27317435784187,0.227673521386714,0.169530415967811
"S005",0.280438022964508,0.202768412722769,0.265863007774731,0.217318704113315,0,0.234114131382374,0.172147814271365,0.280748841466571,0.332011081874659,0.223722074571921,0.28018307310347,0.285030579601075,0.186023984764014,0.276373544382136,0.288117009154616,0.19517503329692,0.189065449925573,0.120936786934761,0.252932963491945,0.263924880195658,0.270021115723354,0.279040177576125,0.21841549277188,0.273730310180529,0.294709362468128,0.264408443812941,0.343709274696276,0.265212208205379,0.27647581280289,0.354930427461949,0.326369138426302,0.269680644554366,0.267041895495479,0.227239120668358,0.19445675241133
"S006",0.243834189109404,0.226082187456403,0.256941320207727,0.235172622626051,0.234114131382374,0,0.221642415567076,0.264433869790434,0.330415046390543,0.227561811513742,0.23378274555045,0.26429502134951,0.218027431034172,0.258406082772724,0.247713640257427,0.239037360719482,0.221011089358044,0.250937276381309,0.216985408801114,0.247061754830743,0.265197556429164,0.270507425261645,0.234380977498973,0.25762066924881,0.270830329909897,0.254004033688908,0.296693320854789,0.256723920786819,0.254784547172675,0.339195188697474,0.303625192401479,0.239739518197563,0.252937471665259,0.187871769614307,0.221642415567076
"S007",0.270255976428841,0.161396029532911,0.254457739224655,0.173791058862229,0.172147814271365,0.221642415567076,0,0.308140194427851,0.317863648421029,0.16674868892136,0.278145542554658,0.272377605603247,0.0721639046436837,0.280995712053228,0.276588256551129,0.128700025586058,0.160567656361168,0.179421092071044,0.246476573481142,0.243482883618604,0.27860962184038,0.293974262209173,0.169843987948536,0.279031322307737,0.289254860166292,0.248537651896904,0.361758781258872,0.254457739224655,0.274128580291196,0.346030568457959,0.312688040065771,0.27614954502161,0.256970519080764,0.213440643782423,0.114006980641294
"S008",0.240797399787346,0.284240321914378,0.236372489014755,0.282368512476838,0.280748841466571,0.264433869790434,0.308140194427851,0,0.313054579867151,0.287761845273314,0.250204125057103,0.251001315448416,0.303721373891494,0.265730173826812,0.256606673298261,0.285775107984478,0.284460120875197,0.286993560265768,0.276061282436199,0.235887293170832,0.254099806457659,0.0943439984744619,0.284861369946104,0.250177210237181,0.255672116506126,0.249422691449189,0.338416713533364,0.238939063982594,0.253672401446966,0.334408387576492,0.312241717068345,0.25733289359419,0.267389323827933,0.270513798541596,0.285682947292707
"S009",0.357760873457212,0.334422462372318,0.336362295866825,0.334365769631542,0.332011081874659,0.330415046390543,0.317863648421029,0.313054579867151,0,0.327388826106911,0.342208383762484,0.345210842435797,0.337004813357907,0.338271989602921,0.334640660063066,0.328234317018061,0.302507109010573,0.349404241042281,0.332708861685333,0.342278269783331,0.33159699522027,0.309590086705779,0.338874111019431,0.351491935846636,0.348162124634883,0.31333956140301,0.257921828314015,0.341952855714535,0.354943180290728,0.112149054590722,0.342813996720323,0.286992211867647,0.33060135124552,0.309839177573537,0.321386416387476
"S010",0.296481851200174,0.126597796295306,0.277221163044418,0.0384561975214491,0.223722074571921,0.227561811513742,0.16674868892136,0.287761845273314,0.327388826106911,0,0.28319092269639,0.278838160481923,0.159217707415011,0.290843269683765,0.27857466089754,0.167660485001399,0.168046741737074,0.205994551744031,0.275995977109423,0.272149910544773,0.278993323324288,0.286274323805676,0.0457265895014834,0.292472986923177,0.286763465921178,0.270342764148186,0.34764371043383,0.279262176939594,0.275400900727933,0.34371032050756,0.306400443472612,0.240302933057945,0.271263973586022,0.221852632861774,0.161085935022918
