"sample_id","organism_type","accession","collection_date","location","host","taxonomy","environment","source","resistance","label"
"S001","bacteria","NR_113585",2024,"NCBI_RefSeq",NA,"Exiguobacterium","environmental","isolate","none","S001"
"S002","bacteria","NR_113582",2024,"NCBI_RefSeq",NA,"Shewanella","marine","isolate","none","S002"
"S003","bacteria","NR_074540",2024,"NCBI_RefSeq",NA,"Bacillus","soil","isolate","none","S003"
"S004","bacteria","NR_041697",2024,"NCBI_RefSeq",NA,"Citrobacter","environmental","isolate","none","S004"
"S005","bacteria","NR_043677",2024,"NCBI_RefSeq",NA,"Chitinimonas","environmental","isolate","none","S005"
"S006","bacteria","NR_025512",2024,"NCBI_RefSeq",NA,"Acetobacter","environmental","isolate","none","S006"
"S007","bacteria","NR_114165",2024,"NCBI_RefSeq",NA,"Azotobacter","environmental","isolate","none","S007"
"S008","bacteria","NR_044368",2024,"NCBI_RefSeq",NA,"Devriesea","environmental","isolate","none","S008"
"S009","bacteria","NR_074636",2024,"NCBI_RefSeq",NA,"Croceibacter","environmental","isolate","none","S009"
"S010","bacteria","NR_102804",2024,"NCBI_RefSeq","Human","Escherichia","clinical","isolate","AMR_watch","S010"
"S011","bacteria","NR_074637",2024,"NCBI_RefSeq","Human","Enterococcus","clinical","isolate","MDR_risk","S011"
"S012","bacteria","NR_118997",2024,"NCBI_RefSeq","Human","Staphylococcus","clinical","isolate","MDR_risk","S012"
"S013","bacteria","NR_026078",2024,"NCBI_RefSeq","Human","Pseudomonas","clinical","isolate","MDR_risk","S013"
"S014","bacteria","NR_043001",2024,"NCBI_RefSeq","Human","Streptococcus","clinical","isolate","unknown","S014"
"S015","bacteria","NR_075022",2024,"NCBI_RefSeq","Human","Enterococcus","clinical","isolate","MDR_risk","S015"
"S016","bacteria","NR_036840",2024,"NCBI_RefSeq",NA,"Chromohalobacter","environmental","isolate","none","S016"
"S017","bacteria","NR_042221",2024,"NCBI_RefSeq",NA,"Psychrobacter","environmental","isolate","none","S017"
"S018","bacteria","NR_113606",2024,"NCBI_RefSeq",NA,"Alcaligenes","environmental","isolate","none","S018"
"S019","bacteria","NR_027593",2024,"NCBI_RefSeq",NA,"Roseobacter","marine","isolate","none","S019"
"S020","bacteria","NR_044828",2024,"NCBI_RefSeq",NA,"Bacillus","soil","isolate","none","S020"
"S021","bacteria","NR_074511",2024,"NCBI_RefSeq",NA,"Clostridium","environmental","isolate","none","S021"
"S022","bacteria","NR_074490",2024,"NCBI_RefSeq",NA,"Cellulomonas","environmental","isolate","none","S022"
"S023","bacteria","NR_041978",2024,"NCBI_RefSeq",NA,"Pantoea","environmental","isolate","none","S023"
"S024","bacteria","NR_043291",2024,"NCBI_RefSeq",NA,"Pediococcus","food","isolate","none","S024"
"S025","bacteria","NR_025904",2024,"NCBI_RefSeq",NA,"Gemella","environmental","isolate","none","S025"
"S026","bacteria","NR_028816",2024,"NCBI_RefSeq",NA,"Turicibacter","environmental","isolate","none","S026"
"S027","bacteria","NR_040916",2024,"NCBI_RefSeq",NA,"Thermoflexibacter","environmental","isolate","none","S027"
"S028","bacteria","NR_115526",2024,"NCBI_RefSeq",NA,"Bacillus","soil","isolate","none","S028"
"S029","bacteria","NR_037122",2024,"NCBI_RefSeq",NA,"Lacticaseibacillus","food","isolate","none","S029"
"S030","bacteria","NR_042444",2024,"NCBI_RefSeq",NA,"Aquimarina","environmental","isolate","none","S030"
"S031","bacteria","NR_074413",2024,"NCBI_RefSeq",NA,"Sebaldella","environmental","isolate","none","S031"
"S032","bacteria","NR_074536",2024,"NCBI_RefSeq",NA,"Cellulosilyticum","environmental","isolate","none","S032"
"S033","bacteria","NR_075063",2024,"NCBI_RefSeq",NA,"Hippea","environmental","isolate","none","S033"
"S034","bacteria","NR_113591",2024,"NCBI_RefSeq",NA,"Novosphingobium","environmental","isolate","none","S034"
"S035","bacteria","NR_114390",2024,"NCBI_RefSeq",NA,"Pseudomaricurvus","environmental","isolate","none","S035"
