"Accession","Country_Raw","Collection_Date","Host"
"A_Georgia_02_2008","USA","2020","Human"
"A_Louisiana_05_2008","USA","2020","Human"
"A_New_York_06_2008","USA","2020","Human"
"A_Minnesota_06_2008","USA","2020","Human"
"A_New_York_33_2008","USA","2020","Human"
"A_New_York_07_2008","USA","2020","Human"
"A_Oregon_01_2008","USA","2020","Human"
"A_Indiana_05_2008","USA","2020","Human"
"A_North_Carolina_01_2008","USA","2020","Human"
"A_Minnesota_16_2008","USA","2020","Human"
"A_South_Carolina_03_2008","USA","2020","Human"
"A_Sao_Paulo_02_2344_2011","USA","2020","Human"
