"","A_Hawaii_02_2013","A_Boston_DOA2_107_2012","A_Oregon_15_2009","A_Hong_Kong_H090_695_V10_2009","A_New_York_182_2000","A_Canterbury_58_2000","A_Minab_797_2011","A_Nebraska_15_2011","A_New_Hampshire_12_2012","A_Scotland_76_2003","A_Managua_25_2007","A_Boston_57_2008","A_DaNang_DN434_2008","A_Mexico_InDRE940_2003","A_Indiana_03_2012","A_Maryland_21_2011","A_Denmark_107_2003","A_Peru_PER247_2011","A_Maryland_03_2013"
"A_Hawaii_02_2013",0,0.00500361573812262,0.0224933670258919,0.0239618374294084,0.0426850701412576,0.0465342038541337,0.0202581167904775,0.0107766587671911,0.00428574052507053,0.0597492910312545,0.0210084452780641,0.0187842763718063,0.02024767219767,0.0359064958784688,0.00715471684594888,0.0115034030811827,0.0589581516256897,0.017344298014275,0.00860853402149748
"A_Boston_DOA2_107_2012",0.00500361573812262,0,0.0202581167904775,0.0202434687713809,0.0403600815056164,0.0441885841312137,0.0180359596668225,0.00859657930502282,0.00213675538869102,0.0573368516674806,0.0187808420938497,0.0165696829561836,0.0194966621963534,0.0336109010233927,0.00499442568244357,0.00932633142687242,0.0565500694437653,0.0151323544482018,0.00643785718002264
"A_Oregon_15_2009",0.0224933670258919,0.0202581167904775,0,0.00572252312293641,0.0328567530674501,0.0381598330821558,0.0144117382880759,0.01732383022479,0.0180489821216452,0.0519732629277252,0.0107766587671911,0.00932078521551617,0.0122166703267844,0.0261741589964594,0.0209966693619842,0.0180716394360723,0.051192622644249,0.0151185708031537,0.0239618374294084
"A_Hong_Kong_H090_695_V10_2009",0.0239618374294084,0.0202434687713809,0.00572252312293641,0,0.0343410699319553,0.0381318386581542,0.0144013601659521,0.0187808420938497,0.0195065489622306,0.0534983953711967,0.012950743250915,0.0107623339135256,0.0136635021086248,0.0276476774026864,0.0224607673053138,0.0195313393293484,0.052715922598045,0.0165696829561836,0.0254325442557378
"A_New_York_182_2000",0.0426850701412576,0.0403600815056164,0.0328567530674501,0.0343410699319553,0,0.00860236272481542,0.0373351469522425,0.0403792963858701,0.0380769725158258,0.0261493906250268,0.0283475149114976,0.0283349917079536,0.0305654245024273,0.0180184152017401,0.0395978862360682,0.0411735029280341,0.0254047888492929,0.0365606711263036,0.0434205348250438
"A_Canterbury_58_2000",0.0465342038541337,0.0441885841312137,0.0381598330821558,0.0381318386581542,0.00860236272481542,0,0.0426746332401696,0.0442107327586547,0.0418879665753553,0.0298891238406731,0.0336028185469226,0.0335863528075282,0.0358365576584396,0.0231731000311707,0.0434205348250438,0.0450137675819232,0.0291389361530558,0.0418879665753553,0.0472726340015376
"A_Minab_797_2011",0.0202581167904775,0.0180359596668225,0.0144117382880759,0.0144013601659521,0.0373351469522425,0.0426746332401696,0,0.0165781953598915,0.0158381539303035,0.0550083115143607,0.0143928968404547,0.012201799805094,0.0151076936104661,0.0306153337903282,0.0187707136565025,0.01732383022479,0.0542246122943543,0.0143782988786361,0.0217205747200967
"A_Nebraska_15_2011",0.0107766587671911,0.00859657930502282,0.01732383022479,0.0187808420938497,0.0403792963858701,0.0442107327586547,0.0165781953598915,0,0.0078745575189059,0.0573668064534301,0.0173211628968112,0.0151151365251971,0.0180359596668225,0.0336273910920187,0.00931964523002262,0.0035688945241462,0.0565794047158969,0.0122224110026829,0.0122224110026829
"A_New_Hampshire_12_2012",0.00428574052507053,0.00213675538869102,0.0180489821216452,0.0195065489622306,0.0380769725158258,0.0418879665753553,0.0158381539303035,0.0078745575189059,0,0.0549802094414315,0.0165781953598915,0.0143782988786361,0.0172940154623952,0.0313518610359981,0.00427809318169558,0.00860274229913939,0.0541971239250589,0.012942569926191,0.00571843259547309
"A_Scotland_76_2003",0.0597492910312545,0.0573368516674806,0.0519732629277252,0.0534983953711967,0.0261493906250268,0.0298891238406731,0.0550083115143607,0.0573668064534301,0.0549802094414315,0,0.0472971623121952,0.0472726340015376,0.0495727148214786,0.0388653418622788,0.0573368516674806,0.0581988847303233,0.00213675538869102,0.0541971239250589,0.0589141400417382
