"sample_id","organism_type","accession","collection_date","location","host","taxonomy","environment","source","resistance"
"S001","bacteria","NR_113585","2024","NCBI_RefSeq","NA","Exiguobacterium","environmental","isolate","none"
"S002","bacteria","NR_113582","2024","NCBI_RefSeq","NA","Shewanella","marine","isolate","none"
"S003","bacteria","NR_074540","2024","NCBI_RefSeq","NA","Bacillus","soil","isolate","none"
"S004","bacteria","NR_041697","2024","NCBI_RefSeq","NA","Citrobacter","environmental","isolate","none"
"S005","bacteria","NR_043677","2024","NCBI_RefSeq","NA","Chitinimonas","environmental","isolate","none"
"S006","bacteria","NR_025512","2024","NCBI_RefSeq","NA","Acetobacter","environmental","isolate","none"
"S007","bacteria","NR_114165","2024","NCBI_RefSeq","NA","Azotobacter","environmental","isolate","none"
"S008","bacteria","NR_044368","2024","NCBI_RefSeq","NA","Devriesea","environmental","isolate","none"
"S009","bacteria","NR_074636","2024","NCBI_RefSeq","NA","Croceibacter","environmental","isolate","none"
"S010","bacteria","NR_102804","2024","NCBI_RefSeq","Human","Escherichia","clinical","isolate","AMR_watch"
"S011","bacteria","NR_074637","2024","NCBI_RefSeq","Human","Enterococcus","clinical","isolate","MDR_risk"
"S012","bacteria","NR_118997","2024","NCBI_RefSeq","Human","Staphylococcus","clinical","isolate","MDR_risk"
"S013","bacteria","NR_026078","2024","NCBI_RefSeq","Human","Pseudomonas","clinical","isolate","MDR_risk"
"S014","bacteria","NR_043001","2024","NCBI_RefSeq","Human","Streptococcus","clinical","isolate","unknown"
"S015","bacteria","NR_075022","2024","NCBI_RefSeq","Human","Enterococcus","clinical","isolate","MDR_risk"
"S016","bacteria","NR_036840","2024","NCBI_RefSeq","NA","Chromohalobacter","environmental","isolate","none"
"S017","bacteria","NR_042221","2024","NCBI_RefSeq","NA","Psychrobacter","environmental","isolate","none"
"S018","bacteria","NR_113606","2024","NCBI_RefSeq","NA","Alcaligenes","environmental","isolate","none"
"S019","bacteria","NR_027593","2024","NCBI_RefSeq","NA","Roseobacter","marine","isolate","none"
"S020","bacteria","NR_044828","2024","NCBI_RefSeq","NA","Bacillus","soil","isolate","none"
"S021","bacteria","NR_074511","2024","NCBI_RefSeq","NA","Clostridium","environmental","isolate","none"
"S022","bacteria","NR_074490","2024","NCBI_RefSeq","NA","Cellulomonas","environmental","isolate","none"
"S023","bacteria","NR_041978","2024","NCBI_RefSeq","NA","Pantoea","environmental","isolate","none"
"S024","bacteria","NR_043291","2024","NCBI_RefSeq","NA","Pediococcus","food","isolate","none"
"S025","bacteria","NR_025904","2024","NCBI_RefSeq","NA","Gemella","environmental","isolate","none"
"S026","bacteria","NR_028816","2024","NCBI_RefSeq","NA","Turicibacter","environmental","isolate","none"
"S027","bacteria","NR_040916","2024","NCBI_RefSeq","NA","Thermoflexibacter","environmental","isolate","none"
"S028","bacteria","NR_115526","2024","NCBI_RefSeq","NA","Bacillus","soil","isolate","none"
"S029","bacteria","NR_037122","2024","NCBI_RefSeq","NA","Lacticaseibacillus","food","isolate","none"
"S030","bacteria","NR_042444","2024","NCBI_RefSeq","NA","Aquimarina","environmental","isolate","none"
"S031","bacteria","NR_074413","2024","NCBI_RefSeq","NA","Sebaldella","environmental","isolate","none"
"S032","bacteria","NR_074536","2024","NCBI_RefSeq","NA","Cellulosilyticum","environmental","isolate","none"
"S033","bacteria","NR_075063","2024","NCBI_RefSeq","NA","Hippea","environmental","isolate","none"
"S034","bacteria","NR_113591","2024","NCBI_RefSeq","NA","Novosphingobium","environmental","isolate","none"
"S035","bacteria","NR_114390","2024","NCBI_RefSeq","NA","Pseudomaricurvus","environmental","isolate","none"
